,TAX CLASS AT PRESENT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT PRESENT,ZIP CODE,TOTAL UNITS,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,NEIGHBORHOOD
4813,4,4,K4,10014,6,2,4,2775,5570,13500000,GREENWICH VILLAGE-WEST   
4816,4,4,L9,10014,38,38,0,10769,124000,105000000,GREENWICH VILLAGE-WEST   
4820,4,4,G1,10014,1,0,1,9021,18196,26000000,GREENWICH VILLAGE-WEST   
4825,4,4,M2,10014,2,1,1,4270,10524,45000000,GREENWICH VILLAGE-WEST   
4838,1,1,A9,10037,1,1,0,1998,6000,2775000,HARLEM-CENTRAL           
4841,1,1,A4,10030,1,1,0,1699,3968,2750000,HARLEM-CENTRAL           
4843,1,1,A5,10030,1,1,0,1998,3933,2345000,HARLEM-CENTRAL           
4844,1,1,A5,10030,1,1,0,1815,3620,3075000,HARLEM-CENTRAL           
4847,1,1,A9,10031,1,1,0,1600,3952,2825000,HARLEM-CENTRAL           
4849,1,1,B9,10026,2,2,0,780,2224,994000,HARLEM-CENTRAL           
4851,1,1,S2,10027,3,2,1,1350,3600,2200000,HARLEM-CENTRAL           
4853,1,1,B9,10037,2,2,0,2498,3531,1708000,HARLEM-CENTRAL           
4854,1,1,B1,10035,2,2,0,1231,3200,2200000,HARLEM-CENTRAL           
4855,1,1,B1,10026,2,2,0,1716,2750,1300000,HARLEM-CENTRAL           
4857,1,1,B1,10027,2,2,0,1716,3150,2700000,HARLEM-CENTRAL           
4858,1,1,B2,10027,2,2,0,2018,5230,3375000,HARLEM-CENTRAL           
4859,1,1,B1,10027,2,2,0,1665,3200,1900000,HARLEM-CENTRAL           
4860,1,1,B1,10027,2,2,0,1465,2199,1180000,HARLEM-CENTRAL           
4861,1,1,S2,10030,3,2,1,919,2600,1225000,HARLEM-CENTRAL           
4862,1,1,B1,10027,2,2,0,1514,4260,2850000,HARLEM-CENTRAL           
4864,1,1,B1,10027,2,2,0,1699,3400,1125000,HARLEM-CENTRAL           
4865,1,1,B1,10027,2,2,0,1799,3600,2250000,HARLEM-CENTRAL           
4866,1,1,B9,10027,2,2,0,1699,3436,877000,HARLEM-CENTRAL           
4867,1,1,B9,10027,2,2,0,1699,3436,172652,HARLEM-CENTRAL           
4868,1,1,B9,10027,2,2,0,1699,3436,172652,HARLEM-CENTRAL           
4870,1,1,B1,10030,2,2,0,1599,3200,1650000,HARLEM-CENTRAL           
4876,1,1,B1,10030,2,2,0,1499,3000,2325000,HARLEM-CENTRAL           
4878,1,1,B1,10030,2,2,0,1499,3000,1100000,HARLEM-CENTRAL           
4879,1,1,B1,10031,2,2,0,1700,3564,3200000,HARLEM-CENTRAL           
4880,1,1,B9,10031,2,2,0,1870,4216,1985000,HARLEM-CENTRAL           
4882,1,1,B9,10031,2,2,0,3033,8100,3750000,HARLEM-CENTRAL           
4885,1,1,C0,10037,3,3,0,2498,2360,397500,HARLEM-CENTRAL           
4888,1,1,C0,10026,3,3,0,2018,4900,2832500,HARLEM-CENTRAL           
4889,1,1,C0,10027,3,3,0,2018,3588,3350000,HARLEM-CENTRAL           
4890,1,1,C0,10027,3,3,0,1973,3280,2100000,HARLEM-CENTRAL           
4891,1,1,C0,10027,3,3,0,1499,2250,725000,HARLEM-CENTRAL           
4892,1,1,C0,10027,3,3,0,1873,4200,1825000,HARLEM-CENTRAL           
4893,1,1,C0,10027,3,3,0,1514,3600,2500000,HARLEM-CENTRAL           
4895,1,1,C0,10027,3,3,0,1682,2499,1400000,HARLEM-CENTRAL           
4897,1,1,C0,10030,3,3,0,1699,4352,1925000,HARLEM-CENTRAL           
4899,1,1,A4,10031,1,1,0,1800,3756,2900000,HARLEM-CENTRAL           
4908,2B,2,C5,10026,7,7,0,1817,2841,1657500,HARLEM-CENTRAL           
4912,2B,2,C5,10026,8,8,0,1817,3128,1660000,HARLEM-CENTRAL           
4914,2A,2,C5,10027,6,6,0,2018,3744,1840000,HARLEM-CENTRAL           
4915,2A,2,C5,10027,6,6,0,1716,2598,2200000,HARLEM-CENTRAL           
4916,2B,2,C1,10027,8,8,0,1892,4508,850000,HARLEM-CENTRAL           
4918,2A,2,C3,10027,4,4,0,1898,4560,1800000,HARLEM-CENTRAL           
4922,2,2,C7,10027,19,18,1,4996,20718,3300000,HARLEM-CENTRAL           
4932,2B,2,C5,10027,10,10,0,1998,3752,800000,HARLEM-CENTRAL           
4933,2B,2,C1,10037,8,8,0,3495,6842,5000000,HARLEM-CENTRAL           
4939,2A,2,C3,10037,4,4,0,1249,1908,1355000,HARLEM-CENTRAL           
4940,2,2,C4,10037,30,30,0,3330,12150,7500000,HARLEM-CENTRAL           
4943,2B,2,C4,10035,10,10,0,2018,5580,2150000,HARLEM-CENTRAL           
4944,2A,2,C9,10035,4,4,0,1440,2700,2350000,HARLEM-CENTRAL           
4945,2B,2,C7,10035,8,7,1,1682,6048,6675000,HARLEM-CENTRAL           
4947,2A,2,C2,10035,5,5,0,1600,4180,10,HARLEM-CENTRAL           
4948,2A,2,C2,10035,5,5,0,1600,4180,15000,HARLEM-CENTRAL           
4950,2A,2,C9,10035,4,4,0,1998,2760,1270000,HARLEM-CENTRAL           
4951,2A,2,C3,10037,4,4,0,2498,7230,2737100,HARLEM-CENTRAL           
4952,2A,2,C3,10037,4,4,0,2498,7230,100,HARLEM-CENTRAL           
4954,2,2,C7,10037,19,16,3,2400,10965,4420500,HARLEM-CENTRAL           
4955,2A,2,C3,10035,4,4,0,1110,3375,1590000,HARLEM-CENTRAL           
4957,2B,2,C4,10026,10,10,0,3784,14510,2100000,HARLEM-CENTRAL           
4959,2,2,C7,10026,11,9,2,2595,9624,2300000,HARLEM-CENTRAL           
4960,2B,2,C5,10026,9,9,0,1810,2691,1440000,HARLEM-CENTRAL           
4961,2B,2,C4,10026,10,10,0,2018,6565,2800000,HARLEM-CENTRAL           
4962,2,2,C7,10026,41,35,6,10647,46080,17300000,HARLEM-CENTRAL           
4964,2B,2,C5,10026,10,10,0,1917,3255,1200000,HARLEM-CENTRAL           
4965,2,2,C4,10027,12,12,0,3532,13650,3132216,HARLEM-CENTRAL           
4966,2A,2,C5,10026,6,6,0,2018,3885,2501000,HARLEM-CENTRAL           
4968,2B,2,C1,10027,7,7,0,1716,2805,260000,HARLEM-CENTRAL           
4971,2,2,C5,10027,11,11,0,1499,2286,750000,HARLEM-CENTRAL           
4972,2B,2,C5,10027,10,10,0,1665,2697,500000,HARLEM-CENTRAL           
4973,2A,2,C3,10027,4,4,0,1549,2442,825000,HARLEM-CENTRAL           
4974,2,2,C7,10027,62,52,10,10000,50326,21500000,HARLEM-CENTRAL           
4975,2A,2,C3,10027,4,4,0,1823,2463,10650000,HARLEM-CENTRAL           
4983,2B,2,C5,10027,7,7,0,1799,3740,850000,HARLEM-CENTRAL           
4985,2A,2,C3,10027,4,4,0,1998,3120,1725000,HARLEM-CENTRAL           
4987,2,2,C5,10027,11,11,0,1873,2973,725000,HARLEM-CENTRAL           
4988,2,2,C5,10027,11,11,0,1665,2499,2950000,HARLEM-CENTRAL           
4989,2,2,C7,10027,18,16,2,3744,15130,11551347,HARLEM-CENTRAL           
4992,2B,2,C7,10030,10,8,2,1869,8845,11250000,HARLEM-CENTRAL           
4994,2,2,C4,10030,17,17,0,2498,8205,7600000,HARLEM-CENTRAL           
4999,2,2,C5,10030,11,11,0,1649,3438,2200000,HARLEM-CENTRAL           
5000,2A,2,C3,10030,4,4,0,1665,2789,1700000,HARLEM-CENTRAL           
5001,2B,2,C7,10026,10,8,2,2000,7715,4600000,HARLEM-CENTRAL           
5002,2,2,C5,10027,11,11,0,1682,2499,1950000,HARLEM-CENTRAL           
5006,2A,2,C2,10027,5,5,0,1615,2640,1125000,HARLEM-CENTRAL           
5011,2B,2,C7,10027,10,8,2,2592,11765,3750000,HARLEM-CENTRAL           
5012,2,2,C7,10027,16,15,1,2500,12833,6700000,HARLEM-CENTRAL           
5014,2,2,C7,10027,29,24,5,9983,31689,8136410,HARLEM-CENTRAL           
5015,2,2,C5,10027,11,11,0,1665,2499,1150000,HARLEM-CENTRAL           
5016,2B,2,C5,10027,7,7,0,1682,2561,1043819,HARLEM-CENTRAL           
5017,2B,2,C7,10027,10,9,1,2500,8855,11676978,HARLEM-CENTRAL           
5021,2,2,C4,10030,22,22,0,3747,14175,9165459,HARLEM-CENTRAL           
5024,2,2,C7,10030,12,8,4,2500,11045,16643877,HARLEM-CENTRAL           
5030,2,2,C5,10030,11,11,0,1549,3796,1354778,HARLEM-CENTRAL           
5031,2A,2,C3,10030,4,4,0,1549,3796,1650000,HARLEM-CENTRAL           
5032,2B,2,C1,10026,10,10,0,2523,9630,2820000,HARLEM-CENTRAL           
5033,2B,2,C1,10027,10,10,0,1781,6235,2300000,HARLEM-CENTRAL           
5035,2A,2,C3,10027,4,4,0,1615,3836,2400000,HARLEM-CENTRAL           
5036,2A,2,C2,10027,5,5,0,1615,5760,3500000,HARLEM-CENTRAL           
5038,2,2,C4,10027,56,56,0,12490,46965,3991045,HARLEM-CENTRAL           
5039,2B,2,C7,10027,10,9,1,1869,8750,2850000,HARLEM-CENTRAL           
5044,2B,2,C4,10027,10,10,0,2765,11105,3350000,HARLEM-CENTRAL           
5059,2B,2,C1,10030,10,10,0,2498,9275,3350000,HARLEM-CENTRAL           
5060,2B,2,C7,10037,9,8,1,1875,8331,3500000,HARLEM-CENTRAL           
5061,2,2,C1,10030,24,24,0,4996,17910,5000000,HARLEM-CENTRAL           
5063,2A,2,C4,10030,5,5,0,2598,9800,3200000,HARLEM-CENTRAL           
5064,2,2,C7,10037,27,20,7,4000,19546,4650000,HARLEM-CENTRAL           
5065,2,2,C4,10030,15,15,0,3747,12890,13300000,HARLEM-CENTRAL           
5071,2A,2,C2,10030,6,6,0,1699,2702,2225000,HARLEM-CENTRAL           
5073,2,2,C5,10030,11,11,0,1998,3654,1900000,HARLEM-CENTRAL           
5074,2A,2,C3,10030,4,4,0,1898,4476,1100000,HARLEM-CENTRAL           
5075,2B,2,C5,10030,10,10,0,3231,4842,500000,HARLEM-CENTRAL           
5077,2,2,C1,10030,18,18,0,3830,15292,1,HARLEM-CENTRAL           
5078,2,2,C1,10030,18,18,0,3830,15292,12350000,HARLEM-CENTRAL           
5079,2,2,C1,10030,18,18,0,3830,15292,473334,HARLEM-CENTRAL           
5089,2B,2,C1,10030,10,10,0,2498,9345,2700000,HARLEM-CENTRAL           
5092,2,2,C1,10030,15,15,0,2798,10703,9653552,HARLEM-CENTRAL           
5098,2,2,C7,10030,30,28,2,4996,21678,7550000,HARLEM-CENTRAL           
5099,2,2,C7,10030,25,23,2,4000,16644,8817537,HARLEM-CENTRAL           
5103,2,2,C7,10039,15,13,2,5146,21587,5741549,HARLEM-CENTRAL           
5104,2,2,C7,10039,24,20,4,4000,19810,11850000,HARLEM-CENTRAL           
5106,2,2,C1,10039,16,16,0,3747,12787,3150000,HARLEM-CENTRAL           
5107,2,2,C1,10039,25,25,0,3997,15444,4,HARLEM-CENTRAL           
5108,2,2,C7,10039,36,33,3,7727,30624,7900000,HARLEM-CENTRAL           
5110,2,2,C1,10039,20,20,0,4080,14554,3600000,HARLEM-CENTRAL           
5112,2A,2,C2,10030,5,5,0,1799,4068,850000,HARLEM-CENTRAL           
5113,2A,2,C2,10030,6,6,0,1280,3590,1450000,HARLEM-CENTRAL           
5114,2,2,C7,10030,15,13,2,2500,10250,3429000,HARLEM-CENTRAL           
5116,2,2,C7,10030,17,14,3,2492,11258,3121000,HARLEM-CENTRAL           
5123,2,2,C4,10039,25,25,0,3997,16158,6110000,HARLEM-CENTRAL           
5125,2,2,C7,10039,69,67,2,24771,78300,19204238,HARLEM-CENTRAL           
5126,2A,2,C2,10031,5,5,0,1549,3608,1520000,HARLEM-CENTRAL           
5128,2,2,D7,10026,148,146,2,48906,162530,18272800,HARLEM-CENTRAL           
5129,2,2,D1,10027,21,21,0,6000,34692,4538798,HARLEM-CENTRAL           
5138,2,2,D9,10035,344,341,3,83092,358400,94854653,HARLEM-CENTRAL           
5139,2,2,D7,10035,36,30,6,5995,35179,12600000,HARLEM-CENTRAL           
5142,2,2,D7,10026,54,53,1,11425,65048,3431932,HARLEM-CENTRAL           
5143,2,2,D7,10026,42,38,4,10092,43578,12550000,HARLEM-CENTRAL           
5144,2,2,D7,10026,39,31,8,6405,37657,12450000,HARLEM-CENTRAL           
5145,2,2,D1,10026,58,58,0,12500,53098,33000000,HARLEM-CENTRAL           
5147,2,2,D7,10026,18,16,2,2523,15188,10100000,HARLEM-CENTRAL           
5148,2,2,D1,10027,24,24,0,4996,21096,4527011,HARLEM-CENTRAL           
5149,2B,2,D1,10026,8,8,0,2000,14031,6750000,HARLEM-CENTRAL           
5150,2,2,D1,10026,13,13,0,2000,14031,6650000,HARLEM-CENTRAL           
5151,2,2,D7,10027,47,46,1,11791,72957,2880000,HARLEM-CENTRAL           
5152,2,2,D1,10027,48,48,0,10092,65800,21634275,HARLEM-CENTRAL           
5160,2,2,D7,10030,93,92,1,12295,60078,26500000,HARLEM-CENTRAL           
5161,2,2,D1,10030,30,30,0,5000,20640,8100000,HARLEM-CENTRAL           
5162,2,2,D1,10030,48,48,0,10000,42144,13500000,HARLEM-CENTRAL           
5571,2A,2,S3,10037,4,3,1,1410,2505,1650000,HARLEM-CENTRAL           
5573,2A,2,S3,10035,4,3,1,1383,3240,960374,HARLEM-CENTRAL           
5577,2A,2,S4,10026,5,4,1,2018,6350,2200000,HARLEM-CENTRAL           
5579,2A,2,S5,10027,6,5,1,2018,5520,86250,HARLEM-CENTRAL           
5581,2A,2,S4,10037,5,4,1,1088,3060,200000,HARLEM-CENTRAL           
5582,2A,2,S4,10030,5,4,1,1665,3000,3000000,HARLEM-CENTRAL           
5584,2A,2,S9,10030,4,2,2,1350,3600,1000000,HARLEM-CENTRAL           
5587,2A,2,S3,10030,4,3,1,1154,2397,960000,HARLEM-CENTRAL           
5588,2A,2,S3,10027,4,3,1,1883,3705,3250000,HARLEM-CENTRAL           
5664,4,4,O1,10035,1,0,1,4800,28800,10542000,HARLEM-CENTRAL           
5666,4,4,O9,10026,3,3,0,1716,2750,2425000,HARLEM-CENTRAL           
5667,4,4,O1,10027,3,0,3,5046,21040,13800000,HARLEM-CENTRAL           
5668,4,4,O9,10030,2,0,2,1275,3772,1650000,HARLEM-CENTRAL           
5674,4,4,K4,10037,4,2,2,1410,1260,1122000,HARLEM-CENTRAL           
5675,4,4,K4,10035,5,2,3,10790,10598,6325000,HARLEM-CENTRAL           
5676,4,4,K7,10027,2,1,1,1499,2250,500000,HARLEM-CENTRAL           
5679,4,4,K7,10030,1,0,1,4992,7492,4650000,HARLEM-CENTRAL           
5681,4,4,K4,10037,5,0,5,4996,4996,12200000,HARLEM-CENTRAL           
5684,4,4,L8,10035,1,0,1,3784,10038,7050000,HARLEM-CENTRAL           
5690,4,4,G9,10039,3,0,3,7494,7494,2650000,HARLEM-CENTRAL           
5731,4,4,P7,10026,1,0,1,1700,5100,950000,HARLEM-CENTRAL           
5736,4,4,M1,10030,1,0,1,1998,2700,1850000,HARLEM-CENTRAL           
5737,4,4,M1,10027,1,0,1,2220,3982,1500000,HARLEM-CENTRAL           
5738,4,4,M1,10027,1,0,1,3400,6800,4982500,HARLEM-CENTRAL           
5742,4,4,Z3,10035,1,0,1,10092,20860,10000000,HARLEM-CENTRAL           
5771,1,1,B1,10035,2,2,0,2523,2640,1675000,HARLEM-EAST              
5772,1,1,C0,10035,3,3,0,2017,3600,1400000,HARLEM-EAST              
5773,1,1,C0,10029,3,3,0,1238,3495,2100000,HARLEM-EAST              
5774,1,1,C0,10029,3,3,0,1250,3552,2157750,HARLEM-EAST              
5777,1,1,C0,10029,3,3,0,1766,3330,1515000,HARLEM-EAST              
5778,1,1,C0,10029,3,3,0,2254,3036,1250000,HARLEM-EAST              
5779,1,1,C0,10029,3,3,0,1817,2430,875000,HARLEM-EAST              
5780,1,1,C0,10035,3,3,0,1682,3600,687443,HARLEM-EAST              
5781,2,2,C7,10029,13,12,1,2523,8350,2750000,HARLEM-EAST              
5782,2,2,C1,10029,19,19,0,2523,8925,4373833,HARLEM-EAST              
5784,2,2,C1,10029,20,20,0,2523,8925,4373833,HARLEM-EAST              
5786,2,2,C1,10029,20,20,0,2523,8925,4373833,HARLEM-EAST              
5788,2,2,C7,10029,14,13,1,2523,11540,3380000,HARLEM-EAST              
5789,2B,2,C7,10029,9,8,1,2851,7328,2365000,HARLEM-EAST              
5791,2B,2,C4,10035,7,7,0,1917,3868,1700000,HARLEM-EAST              
5792,2A,2,C3,10035,4,4,0,1917,3870,1500000,HARLEM-EAST              
5794,2,2,C7,10029,46,40,6,5000,24644,8000000,HARLEM-EAST              
5796,2B,2,C4,10029,7,6,1,1944,6146,2650000,HARLEM-EAST              
5797,2A,2,C3,10035,4,4,0,1682,3404,1319662,HARLEM-EAST              
5798,2A,2,C3,10035,4,4,0,3532,3992,6300000,HARLEM-EAST              
5799,2A,2,C4,10035,5,5,0,2523,9325,3693500,HARLEM-EAST              
5800,2A,2,C4,10035,4,4,0,2523,5142,2070000,HARLEM-EAST              
5802,2,2,D7,10029,611,600,11,81805,680000,179979918,HARLEM-EAST              
5803,2,2,D6,10035,80,77,3,35786,122000,27428571,HARLEM-EAST              
5804,2,2,D6,10029,161,160,1,20882,133370,92000000,HARLEM-EAST              
5805,2,2,D1,10029,12,12,0,2523,12420,800000,HARLEM-EAST              
5807,2,2,D3,10029,43,43,0,10814,47106,16250000,HARLEM-EAST              
5808,2,2,D7,10029,24,20,4,3028,14295,8550000,HARLEM-EAST              
5809,2,2,D6,10029,17,16,1,2525,16500,7500000,HARLEM-EAST              
5810,2,2,D3,10029,23,23,0,4092,20321,5750,HARLEM-EAST              
5811,2,2,D7,10029,329,323,6,76700,412985,178147948,HARLEM-EAST              
5813,2,2,D7,10035,19,18,1,7592,50908,20500000,HARLEM-EAST              
5814,2,2,D3,10035,42,42,0,8747,51546,14400000,HARLEM-EAST              
5826,2,2,D4,10035,64,64,0,14129,36000,12539270,HARLEM-EAST              
5884,2A,2,S3,10029,4,3,1,1615,2880,2000000,HARLEM-EAST              
5885,2B,2,S5,10029,7,6,1,1143,4590,1420000,HARLEM-EAST              
5886,2A,2,S9,10029,6,4,2,1360,3570,1875000,HARLEM-EAST              
5890,2B,2,S9,10029,9,6,3,1474,5400,2250000,HARLEM-EAST              
5891,2B,2,S9,10029,9,6,3,1896,6516,1510000,HARLEM-EAST              
5892,2B,2,S9,10029,8,6,2,1875,5151,1707500,HARLEM-EAST              
5893,2A,2,S3,10029,4,3,1,1600,4080,1200000,HARLEM-EAST              
5894,2A,2,S3,10029,4,3,1,1649,4390,1500000,HARLEM-EAST              
5895,2A,2,S3,10029,4,3,1,1665,4760,1450000,HARLEM-EAST              
5928,4,4,K1,10035,3,0,3,2250,2190,1750000,HARLEM-EAST              
5930,4,4,K9,10029,1,0,1,2525,1976,10210000,HARLEM-EAST              
5934,4,4,K2,10029,2,0,2,1190,2000,4750000,HARLEM-EAST              
5935,4,4,K2,10029,3,0,3,4385,7560,14750000,HARLEM-EAST              
5936,4,4,L8,10035,1,0,1,2523,6600,2200000,HARLEM-EAST              
5966,1,1,A4,10031,1,1,0,1799,5810,1896000,HARLEM-UPPER             
5967,1,1,A9,10031,1,1,0,1998,4730,10,HARLEM-UPPER             
5968,1,1,A9,10031,1,1,0,800,2596,1300000,HARLEM-UPPER             
5970,1,1,B1,10031,2,2,0,1898,4104,3100000,HARLEM-UPPER             
5971,1,1,B3,10031,2,2,0,2447,3708,2620000,HARLEM-UPPER             
5972,1,1,B1,10031,2,2,0,1998,3174,2890000,HARLEM-UPPER             
5973,1,1,S2,10031,3,2,1,1950,2223,1400000,HARLEM-UPPER             
5974,1,1,B1,10031,2,2,0,1032,3240,2050000,HARLEM-UPPER             
5975,1,1,B1,10031,2,2,0,1699,3656,825000,HARLEM-UPPER             
5976,1,1,B1,10031,2,2,0,1549,3576,1875000,HARLEM-UPPER             
5977,1,1,B3,10031,2,2,0,1500,3000,999000,HARLEM-UPPER             
5978,1,1,C0,10031,3,3,0,1799,4652,2350000,HARLEM-UPPER             
5979,1,1,C0,10031,3,3,0,1873,3420,1100000,HARLEM-UPPER             
5982,1,1,C0,10031,3,3,0,1393,3424,1500000,HARLEM-UPPER             
5983,1,1,C0,10031,3,3,0,1549,3488,1817000,HARLEM-UPPER             
5984,1,1,C0,10031,3,3,0,1666,3776,800000,HARLEM-UPPER             
5985,1,1,C0,10031,3,3,0,1666,3776,800000,HARLEM-UPPER             
5986,1,1,C0,10031,3,3,0,1666,3776,10,HARLEM-UPPER             
5991,2,2,C7,10031,22,16,6,2998,13712,11850000,HARLEM-UPPER             
5992,2A,2,C5,10031,6,6,0,1732,2991,815000,HARLEM-UPPER             
5995,2B,2,C5,10031,10,10,0,1199,2588,675000,HARLEM-UPPER             
5996,2B,2,C5,10031,10,10,0,1898,3072,2500000,HARLEM-UPPER             
5997,2A,2,C2,10031,6,6,0,1577,3438,1680000,HARLEM-UPPER             
5998,2B,2,C1,10031,8,8,0,1873,2739,690000,HARLEM-UPPER             
5999,2B,2,C1,10031,8,8,0,1873,2739,160000,HARLEM-UPPER             
6002,2A,2,C2,10031,6,6,0,1474,2616,1010000,HARLEM-UPPER             
6004,2A,2,C2,10031,6,6,0,1873,2580,720000,HARLEM-UPPER             
6007,2A,2,C4,10031,4,4,0,1760,4892,1152800,HARLEM-UPPER             
6009,2A,2,C3,10031,4,4,0,1660,4800,1133800,HARLEM-UPPER             
6011,2A,2,C3,10031,4,4,0,1580,4800,1813400,HARLEM-UPPER             
6012,2,2,C7,10031,14,13,1,2558,11472,2500000,HARLEM-UPPER             
6013,2,2,C7,10032,22,21,1,2492,12200,4600000,HARLEM-UPPER             
6014,2,2,C4,10032,20,20,0,2500,9615,10150000,HARLEM-UPPER             
6018,2A,2,C3,10032,4,4,0,2098,4284,1717000,HARLEM-UPPER             
6019,2A,2,C3,10032,4,4,0,2098,4284,1450000,HARLEM-UPPER             
6020,2,2,C5,10031,11,11,0,1499,2472,1685000,HARLEM-UPPER             
6021,2B,2,C5,10031,7,7,0,1699,2649,1850000,HARLEM-UPPER             
6024,2B,2,C1,10031,7,7,0,1665,2450,2050000,HARLEM-UPPER             
6025,2A,2,C2,10031,5,5,0,1665,5585,1950000,HARLEM-UPPER             
6027,2,2,C1,10031,21,21,0,4996,17410,24000000,HARLEM-UPPER             
6031,2,2,C7,10031,23,17,6,4000,14830,1326832,HARLEM-UPPER             
6040,2,2,C7,10031,33,28,5,4996,21395,9950000,HARLEM-UPPER             
6041,2A,2,C2,10031,6,6,0,2498,3412,1055000,HARLEM-UPPER             
6042,2A,2,C2,10031,5,5,0,1665,2745,1900000,HARLEM-UPPER             
6043,2,2,C1,10031,31,31,0,4996,21600,11500000,HARLEM-UPPER             
6045,2A,2,C2,10031,6,6,0,16846,3528,1285000,HARLEM-UPPER             
6047,2,2,C5,10031,11,11,0,1699,2796,1000000,HARLEM-UPPER             
6048,2,2,C1,10031,21,21,0,4163,14010,6700000,HARLEM-UPPER             
6049,2,2,C1,10031,21,21,0,4996,17960,3600000,HARLEM-UPPER             
6052,2,2,D1,10031,24,24,0,7077,29520,6332500,HARLEM-UPPER             
6053,2,2,D1,10031,24,24,0,7494,31674,12300000,HARLEM-UPPER             
6054,2,2,D6,10031,86,79,7,12500,99946,32533000,HARLEM-UPPER             
6055,2,2,D7,10031,54,46,8,15987,65050,25500000,HARLEM-UPPER             
6056,2,2,D7,10031,53,46,7,14988,69876,27000000,HARLEM-UPPER             
6057,2B,2,D9,10031,9,9,0,2498,9115,2400000,HARLEM-UPPER             
6156,2A,2,S5,10031,6,5,1,1599,2541,10,HARLEM-UPPER             
6168,4,4,K2,10031,1,0,1,5000,9680,6100000,HARLEM-UPPER             
6169,4,4,HR,10031,29,28,1,2200,9842,1700000,HARLEM-UPPER             
6173,4,4,I5,10031,1,0,1,3921,4100,3100000,HARLEM-UPPER             
6176,4,4,M1,10031,1,0,1,1682,3969,1982900,HARLEM-UPPER             
6177,4,4,N9,10031,1,0,1,1998,3054,1270000,HARLEM-UPPER             
6178,1,1,B9,10031,2,2,0,1392,3260,1100000,HARLEM-WEST              
6179,2,2,C7,10027,31,25,6,4950,18630,7000000,HARLEM-WEST              
6180,2,2,C7,10027,19,17,2,4000,16382,8500000,HARLEM-WEST              
6181,2,2,C1,10027,34,34,0,7150,24465,7000000,HARLEM-WEST              
6183,2,2,C1,10027,34,34,0,7200,24105,9000000,HARLEM-WEST              
6184,2,2,C1,10027,30,28,2,4925,19956,5000000,HARLEM-WEST              
6185,2,2,C7,10027,23,22,1,4992,21768,11595000,HARLEM-WEST              
6186,2,2,C1,10031,16,16,0,3997,13765,1,HARLEM-WEST              
6187,2,2,C1,10031,20,20,0,3997,13170,4850000,HARLEM-WEST              
6190,2,2,D1,10031,36,36,0,7494,31614,7500000,HARLEM-WEST              
6206,4,4,K1,10027,1,0,1,1875,1350,1450000,HARLEM-WEST              
6209,1,1,A1,10463,1,1,0,2500,2841,485000,INWOOD                   
6210,1,1,B1,10463,2,2,0,2494,3906,240000,INWOOD                   
6213,1,1,B1,10034,2,2,0,5000,4356,2500000,INWOOD                   
6215,1,1,B1,10034,2,2,0,2500,3085,1275000,INWOOD                   
6216,1,1,C0,10463,3,3,0,4525,2812,640000,INWOOD                   
6217,2,2,C1,10463,21,21,0,3600,12670,1700000,INWOOD                   
6218,2,2,C7,10463,20,18,2,3475,14320,2170000,INWOOD                   
6219,2,2,C1,10463,19,19,0,3425,13674,2920000,INWOOD                   
6220,2,2,C1,10034,48,48,0,15500,42464,6750000,INWOOD                   
6221,2,2,C1,10034,52,52,0,15000,47400,8700000,INWOOD                   
6222,2B,2,C1,10034,10,10,0,2500,9050,2100000,INWOOD                   
6223,2B,2,C1,10034,10,10,0,2500,9050,1650000,INWOOD                   
6224,2B,2,C1,10034,10,10,0,2250,9050,3350000,INWOOD                   
6226,2,2,C1,10034,40,40,0,11250,30400,6100000,INWOOD                   
6228,2,2,C1,10034,21,21,0,7500,22650,7050000,INWOOD                   
6229,2,2,C7,10034,22,18,4,7500,22650,5023000,INWOOD                   
6232,2,2,C1,10034,36,36,0,7500,25157,4555000,INWOOD                   
6237,2,2,C1,10034,31,31,0,6000,18640,14375000,INWOOD                   
6239,2,2,C4,10034,17,17,0,3750,12240,2000000,INWOOD                   
6240,2,2,C1,10034,31,31,0,7500,20815,9100000,INWOOD                   
6242,2,2,C1,10034,25,25,0,5000,19920,5241000,INWOOD                   
6243,2,2,C1,10034,25,25,0,5150,18575,3225000,INWOOD                   
6244,2,2,C1,10034,21,21,0,5500,19290,4586000,INWOOD                   
6246,2,2,D3,10034,72,72,0,19984,77967,12600000,INWOOD                   
6247,2,2,D1,10463,32,32,0,6375,25292,4550000,INWOOD                   
6354,4,4,O9,10034,4,0,4,9875,9900,4125000,INWOOD                   
6355,4,4,K9,10034,4,0,4,8810,10260,3100000,INWOOD                   
6356,4,4,K1,10034,2,0,2,15000,8000,4500000,INWOOD                   
6362,4,4,G9,10034,3,0,3,9992,29976,5500000,INWOOD                   
6363,4,4,M1,10034,1,0,1,3300,3450,1550000,INWOOD                   
6364,2,2,C4,10018,20,18,2,2469,9745,6700000,JAVITS CENTER            
6408,1,1,C0,10003,3,3,0,1840,3645,10,KIPS BAY                 
6409,2B,2,C5,10003,8,8,0,1840,4975,3925000,KIPS BAY                 
6410,2,2,C4,10016,17,16,1,2469,9390,1582500,KIPS BAY                 
6412,2,2,D6,10010,211,202,9,13800,185127,167500000,KIPS BAY                 
